北海道,札幌市（さっぽろし）
青森県,青森市（あおもりし）
岩手県,盛岡市（もりおかし）
宮城県,仙台市（せんだいし）
秋田県,秋田市（あきたし）
山形県,山形市（やまがたし）
福島県,福島市（ふくしまし）
茨城県,水戸市（みとし）
栃木県,宇都宮市（うつのみやし）
群馬県,前橋市（まえばしし）
埼玉県,さいたま市
千葉県,千葉市（ちばし）
東京都,新宿区（しんじゅくく）／都庁所在地
神奈川県,横浜市（よこはまし）
新潟県,新潟市（にいがたし）
富山県,富山市（とやまし）
石川県,金沢市（かなざわし）
福井県,福井市（ふくいし）
山梨県,甲府市（こうふし）
長野県,長野市（ながのし）
岐阜県,岐阜市（ぎふし）
静岡県,静岡市（しずおかし）
愛知県,名古屋市（なごやし）
三重県,津市（つし）
滋賀県,大津市（おおつし）
京都府,京都市（きょうとし）
大阪府,大阪市（おおさかし）
兵庫県,神戸市（こうべし）
奈良県,奈良市（ならし）
和歌山県,和歌山市（わかやまし）
鳥取県,鳥取市（とっとりし）
島根県,松江市（まつえし）
岡山県,岡山市（おかやまし）
広島県,広島市（ひろしまし）
山口県,山口市（やまぐちし）
徳島県,徳島市（とくしまし）
香川県,高松市（たかまつし）
愛媛県,松山市（まつやまし）
高知県,高知市（こうちし）
福岡県,福岡市（ふくおかし）
佐賀県,佐賀市（さがし）
長崎県,長崎市（ながさきし）
熊本県,熊本市（くまもとし）
大分県,大分市（おおいたし）
宮崎県,宮崎市（みやざきし）
鹿児島県,鹿児島市（かごしまし）
沖縄県,那覇市（なはし）
